brand_name,primary_category,avg_review_rating,avg_product_rating,total_reviews,avg_price,total_loves,pct_recommended
Algenist,Skincare,4.31,4.31,8741,77.66,67870,0.85
Alpha-H,Skincare,4.47,4.47,1265,56.66,18300,0.91
Anastasia Beverly Hills,Skincare,4.56,4.56,27,45.0,4568,0.89
Augustinus Bader,Skincare,4.35,4.35,2172,185.14,16116,0.86
BeautyBio,Skincare,4.3,4.3,1337,82.89,18126,0.84
Benefit Cosmetics,Skincare,4.67,4.67,3536,37.72,1773,0.96
Biossance,Skincare,4.21,4.21,12365,52.9,167407,0.81
Bobbi Brown,Skincare,4.49,4.49,4571,65.26,171118,0.91
CANOPY,Skincare,4.45,4.44,69,150.0,7559,0.86
CAY SKIN,Skincare,4.26,4.27,785,27.56,23148,0.83
CLINIQUE,Skincare,4.25,4.25,49029,36.39,185324,0.83
COOLA,Skincare,4.05,4.05,2267,42.6,41546,0.8
Caudalie,Skincare,4.33,4.33,20729,51.66,185939,0.85
Charlotte Tilbury,Skincare,4.28,4.28,6514,86.29,111513,0.84
Clarins,Skincare,4.32,4.32,5647,80.16,59652,0.87
Community Sixty-Six,Skincare,3.92,3.92,1018,23.34,3298,0.76
DAMDAM,Skincare,4.74,4.74,1128,49.09,14376,0.96
DERMAFLASH,Skincare,3.78,3.79,514,133.76,51300,0.69
Danessa Myricks Beauty,Skincare,4.63,4.63,67,30.0,10153,0.88
Dermalogica,Skincare,4.61,4.61,24415,52.47,110141,0.93
Dior,Skincare,4.42,4.42,6150,102.34,47079,0.89
Dr. Barbara Sturm,Skincare,4.04,4.04,5995,158.81,8905,0.76
Dr. Brandt Skincare,Skincare,4.19,4.19,4354,67.97,21773,0.85
Dr. Dennis Gross Skincare,Skincare,4.5,4.5,14423,80.99,234295,0.91
Dr. Jart+,Skincare,4.17,4.17,24000,35.17,210786,0.81
Dr. Lara Devgan Scientific Beauty,Skincare,4.72,4.72,1421,145.97,14302,0.93
Dr. Zenovia Skincare,Skincare,4.5,4.5,3314,50.33,8366,0.93
Drunk Elephant,Skincare,4.09,4.09,42395,54.97,411372,0.77
EADEM,Skincare,4.59,4.61,481,56.25,15740,0.92
Erno Laszlo,Skincare,5.0,5.0,2,62.5,673,1.0
Estée Lauder,Skincare,4.19,4.19,17341,90.32,58873,0.84
Evian,Skincare,4.54,4.54,2026,16.72,31434,0.88
FOREO,Skincare,3.89,3.89,1143,180.61,17954,0.75
FaceGym,Skincare,4.66,4.66,1013,75.16,5438,0.94
Farmacy,Skincare,4.44,4.44,26536,44.39,403801,0.86
Fenty Skin,Skincare,4.25,4.25,4806,32.33,119797,0.83
First Aid Beauty,Skincare,4.35,4.35,24280,33.52,300432,0.83
Flora + Bast,Skincare,4.61,4.61,199,76.5,13007,0.88
Freck Beauty,Skincare,4.45,4.45,432,33.03,17528,0.9
GLO Science,Skincare,4.13,4.13,1271,113.46,95949,0.82
GUERLAIN,Skincare,4.35,4.35,3823,111.82,26130,0.88
Gisou,Skincare,4.9,4.95,81,32.0,547,0.98
Glossier,Skincare,4.01,4.07,386,25.3,17832,0.76
Glow Recipe,Skincare,4.32,4.32,31490,33.56,389213,0.84
Gucci,Skincare,4.67,4.67,451,78.0,6498,0.94
