primary_category,secondary_category,review_year,review_month,avg_rating,total_reviews,avg_price,pct_recommended
Skincare,Cleansers,2008,8,4.0,10,33.1,
Skincare,Cleansers,2008,9,4.47,489,30.83,
Skincare,Cleansers,2008,10,4.4,164,30.6,
Skincare,Cleansers,2008,11,4.46,146,32.43,
Skincare,Cleansers,2008,12,4.57,183,31.19,
Skincare,Cleansers,2009,1,4.46,178,31.46,
Skincare,Cleansers,2009,2,4.28,132,30.58,
Skincare,Cleansers,2009,3,4.3,331,34.54,
Skincare,Cleansers,2009,4,4.43,337,37.55,
Skincare,Cleansers,2009,5,4.48,379,34.91,
Skincare,Cleansers,2009,6,4.5,301,35.49,
Skincare,Cleansers,2009,7,4.42,289,36.46,
Skincare,Cleansers,2009,8,4.55,392,32.12,
Skincare,Cleansers,2009,9,4.44,256,32.6,
Skincare,Cleansers,2009,10,4.47,269,35.03,
Skincare,Cleansers,2009,11,4.5,222,32.89,
Skincare,Cleansers,2009,12,4.41,339,37.09,
Skincare,Cleansers,2010,1,4.59,387,32.94,
Skincare,Cleansers,2010,2,4.48,313,34.47,
Skincare,Cleansers,2010,3,4.53,389,31.09,
Skincare,Cleansers,2010,4,4.48,381,32.09,
Skincare,Cleansers,2010,5,4.53,423,31.15,
Skincare,Cleansers,2010,6,4.47,303,33.05,
Skincare,Cleansers,2010,7,4.43,315,32.59,
Skincare,Cleansers,2010,8,4.57,335,31.17,
Skincare,Cleansers,2010,9,4.37,174,33.97,
Skincare,Cleansers,2010,10,4.45,317,35.89,
Skincare,Cleansers,2010,11,4.32,275,36.21,
Skincare,Cleansers,2010,12,4.54,392,32.44,
Skincare,Cleansers,2011,1,4.56,315,35.2,
Skincare,Cleansers,2011,2,4.44,252,36.68,
Skincare,Cleansers,2011,3,4.54,310,35.26,
Skincare,Cleansers,2011,4,4.5,265,33.72,
Skincare,Cleansers,2011,5,4.58,314,36.85,
Skincare,Cleansers,2011,6,4.45,235,35.35,
Skincare,Cleansers,2011,7,4.59,273,36.8,
Skincare,Cleansers,2011,8,4.5,287,39.67,
Skincare,Cleansers,2011,9,4.43,129,41.87,
Skincare,Cleansers,2011,10,4.55,280,41.0,
Skincare,Cleansers,2011,11,4.54,319,39.86,
Skincare,Cleansers,2011,12,4.58,385,40.89,
Skincare,Cleansers,2012,1,4.58,383,40.24,
Skincare,Cleansers,2012,2,4.6,268,39.81,
Skincare,Cleansers,2012,3,4.67,279,40.73,
Skincare,Cleansers,2012,4,4.6,126,37.74,
Skincare,Cleansers,2012,5,4.53,171,35.6,
Skincare,Cleansers,2012,6,4.56,254,34.58,
Skincare,Cleansers,2012,7,4.61,252,38.8,
Skincare,Cleansers,2012,8,4.47,296,42.44,
Skincare,Cleansers,2012,9,4.44,234,41.01,
Skincare,Cleansers,2012,10,4.53,198,36.59,
Skincare,Cleansers,2012,11,4.48,259,38.12,
Skincare,Cleansers,2012,12,4.47,342,37.83,
Skincare,Cleansers,2013,1,4.52,368,37.72,
Skincare,Cleansers,2013,2,4.43,314,39.93,
Skincare,Cleansers,2013,3,4.32,332,37.11,
Skincare,Cleansers,2013,4,4.43,321,36.39,
Skincare,Cleansers,2013,5,4.48,294,35.31,
Skincare,Cleansers,2013,6,4.41,243,34.47,
Skincare,Cleansers,2013,7,4.46,216,35.6,
Skincare,Cleansers,2013,8,4.37,274,33.97,
Skincare,Cleansers,2013,9,4.43,273,36.16,
Skincare,Cleansers,2013,10,4.44,261,35.82,
Skincare,Cleansers,2013,11,4.42,319,35.12,
Skincare,Cleansers,2013,12,4.55,306,35.27,
Skincare,Cleansers,2014,1,4.37,407,36.1,
Skincare,Cleansers,2014,2,4.45,304,34.65,
