review_year,review_month,primary_category,avg_rating,total_reviews,pct_recommended
2008,8,Skincare,4.25,28,
2008,9,Skincare,4.48,1339,
2008,10,Skincare,4.37,435,
2008,11,Skincare,4.46,457,
2008,12,Skincare,4.46,502,
2009,1,Skincare,4.47,511,
2009,2,Skincare,4.41,393,
2009,3,Skincare,4.39,983,
2009,4,Skincare,4.43,939,
2009,5,Skincare,4.45,1114,
2009,6,Skincare,4.45,826,
2009,7,Skincare,4.46,728,
2009,8,Skincare,4.51,1083,
2009,9,Skincare,4.49,778,
2009,10,Skincare,4.49,742,
2009,11,Skincare,4.44,623,
2009,12,Skincare,4.49,989,
2010,1,Skincare,4.53,1274,
2010,2,Skincare,4.49,996,
2010,3,Skincare,4.45,1221,
2010,4,Skincare,4.48,1211,
2010,5,Skincare,4.46,1371,
2010,6,Skincare,4.46,1070,
2010,7,Skincare,4.46,1138,
2010,8,Skincare,4.49,1186,
2010,9,Skincare,4.44,577,
2010,10,Skincare,4.42,967,
2010,11,Skincare,4.37,993,
2010,12,Skincare,4.43,1481,
2011,1,Skincare,4.43,1359,
2011,2,Skincare,4.37,986,
2011,3,Skincare,4.4,1108,
2011,4,Skincare,4.41,1131,
2011,5,Skincare,4.44,1161,
2011,6,Skincare,4.39,939,
2011,7,Skincare,4.51,942,
2011,8,Skincare,4.48,1001,
2011,9,Skincare,4.39,405,
2011,10,Skincare,4.45,887,
2011,11,Skincare,4.52,1146,
2011,12,Skincare,4.53,1352,
2012,1,Skincare,4.51,1471,
2012,2,Skincare,4.44,1153,
2012,3,Skincare,4.48,1149,
2012,4,Skincare,4.47,510,
2012,5,Skincare,4.46,628,
2012,6,Skincare,4.48,816,
2012,7,Skincare,4.41,867,
2012,8,Skincare,4.44,952,
2012,9,Skincare,4.35,869,
2012,10,Skincare,4.41,838,
2012,11,Skincare,4.43,1109,
2012,12,Skincare,4.45,1438,
2013,1,Skincare,4.44,1708,
2013,2,Skincare,4.4,1413,
2013,3,Skincare,4.36,1564,
2013,4,Skincare,4.39,1389,
2013,5,Skincare,4.45,1269,
2013,6,Skincare,4.44,996,
2013,7,Skincare,4.42,962,
2013,8,Skincare,4.33,1126,
2013,9,Skincare,4.39,1069,
2013,10,Skincare,4.36,1206,
2013,11,Skincare,4.38,1423,
2013,12,Skincare,4.42,1496,
2014,1,Skincare,4.34,1844,
2014,2,Skincare,4.29,1577,
2014,3,Skincare,4.32,1550,
2014,4,Skincare,4.34,1965,
2014,5,Skincare,4.35,1561,
2014,6,Skincare,4.3,1447,
2014,7,Skincare,4.3,1444,
2014,8,Skincare,4.3,1281,
2014,9,Skincare,4.28,1177,
2014,10,Skincare,4.24,1151,
2014,11,Skincare,4.39,1477,
2014,12,Skincare,4.36,1750,
2015,1,Skincare,4.29,2370,
2015,2,Skincare,4.2,1868,
2015,3,Skincare,4.26,1927,
2015,4,Skincare,4.29,2039,
2015,5,Skincare,4.25,1742,
2015,6,Skincare,4.21,1483,
2015,7,Skincare,4.28,1476,
2015,8,Skincare,4.27,1237,
2015,9,Skincare,4.23,1183,
2015,10,Skincare,4.23,1296,
2015,11,Skincare,4.31,2241,
2015,12,Skincare,4.32,2728,
2016,1,Skincare,4.29,2964,
2016,2,Skincare,4.31,2660,
2016,3,Skincare,4.27,2415,
2016,4,Skincare,4.28,3025,
2016,5,Skincare,4.3,2690,
2016,6,Skincare,4.28,2416,
2016,7,Skincare,4.33,2590,
2016,8,Skincare,4.37,2773,
2016,9,Skincare,4.34,2336,
2016,10,Skincare,4.27,2633,
2016,11,Skincare,4.27,3105,
2016,12,Skincare,4.33,3530,
2017,1,Skincare,4.31,4406,
2017,2,Skincare,4.27,3444,
